game_name,box_txt,game_tag,game_intro
宝可梦大探险,开发：Nintendo、网易游戏 | 网络：网游 | 类型：角色扮演,"3D,萌物,奇幻",《宝可梦大探险》是一款以方块造型的宝可梦为主角的休闲收集对战手游。在名为“方可乐”的岛屿上，玩家将和方可梦成为朋友，组建一个独一无二的团队！点击屏幕就能战斗，简单的控制和多样的策略性让探险变得生动有趣！和方可梦伙伴们一起努力战斗步步前进，寻找藏在岛屿上的宝藏吧！【官方网站】http://pq.163.com/
命运-冠位指定,开发：TYPE-MOON | 网络：网游 | 类型：角色扮演,"3D,二次元",《命运-冠位指定》是一款由TYPE-MOON开发的角色扮演游戏。本作根据《命运之夜》改编而来，游戏中，登场英灵们会以寄宿在卡片上的形式登场，这些英灵寄宿卡片就被称为圣图卡。当玩家们收服英灵成为伙伴之后，就可以得到他们的圣图卡，并透过多种方式来让这些圣图卡获得强化。同时，玩家亦可以透过游戏中入手的道具碎片来与英灵进行合成，让英灵完成灵基再临，进化成比之前更加强力的存在。而碎片有各种不同类型，将随着游戏进行陆续出现，而随着圣图卡的不同，所需要的碎片也会有所差异。此外，英灵还可以通过游戏中收集技能强化道具来提升技能等级，这些技能强化道具可以随着每日任务获得。当技能等级强化之后，技能威力也能随之获得提升强化，这是玩家强化自己英灵实力所不能错过的重点所在！当玩家将相同的英灵圣图卡进行合成之后，除了可以获得经验值来提升英灵等级之外，也可以提升该英灵特有的宝具等级。当宝具等级愈高，战斗中所能发挥出来的威力也会愈加强大，玩家也可以善用这点来培育出最强大的英灵宝具，成为战场上纵横无敌的最强英灵。
地下城与勇士：魂,开发：NEXON Company | 网络：网游 | 类型：动作,"3D,横版卷轴",《地下城与勇士：魂》是由NEXON Company出品的一款动作游戏。在游戏中，玩家可以操作鬼剑士、神枪手、格斗家、男法师四个角色，他们将全部以3D画面登场。玩家在游戏中可以领略华丽精致的战斗画面，多种技能组合和闪避等由玩家亲自操作的战斗方式也让人体验到动作游戏的乐趣。游戏中还可以收集、强化、进化多达400余种装备与武器。
王者荣耀,开发：腾讯游戏 | 网络：网游 | 类型：MOBA,"3D,三国",《王者荣耀》是一款由腾讯天美工作室开发，腾讯游戏运营的MOBA手游。在游戏中赵云、昭君、曹操、嬴政，5000年东方英雄集结战场，大战一触即发。浓郁的东方元素、创新性3V3设定、1条路对决、10分钟快意决胜负，再配以两指即可玩转的简易操作，本作MOBA类手游注入全新活力。作为秉承端游MOBA精髓的移动端游戏，《王者联盟》在保留部分传统设定及核心玩法的同时，还做了很多贴近移动端的改动。拥有5V5王者峡谷、5V5深渊大乱斗、以及3V3、1V1等多样模式，一键体验。另一大创新，就是在于精简后的一条路地图同时又自带一片野区，玩家依然可以在地图中享受打野、团战、抢大龙的乐趣。快速PK的同时，又不失趣味性。玩家开局即可直奔MOBA最核心的团战乐趣，这既是“硬碰硬”的激情对战，同时也是对玩家战前准备、即时反应能力的全方位考验。
绝境北方,开发：Raw Fury | 网络：单机 | 类型：策略,高画质,【iOS版注意事项】本游戏需要港区帐号才能下载安装。【游戏介绍】《绝境北方》，又名《北方绝境》、《坏北》，是一款简易魔性的策略塔防手游，游戏融合了热血的北欧海盗元素，在这片有限的方形小岛上，你的家园受到攻击，国王惨死在北欧海盗手中。一切危在旦夕，你将扮演王子，带领绝望的子民，捍卫宁静祥和的家园，收集资源、打造防御军团，抵抗维京海盗的进攻，重振家园。策略部署，有效防守：每个岛屿都风格迷人并布局独特，程序生成的美丽岛屿和可爱的士兵与残酷战争形成强烈对比。你要从方方面面都做好战略规划，因为你只有一次机会将他们从敌人入侵中拯救过来。培养最杰出的军队：你掌控着战役的大局，为你的士兵下达高级指令，更强大更聪明的防守会带来更多的收获，用这些把你的臣民从一群散漫民兵培养成经验丰富的勇士。实时战术Roguelike：维京海盗自由对策来威胁你的部署，随机元素充满挑战，选择你的战斗并认真计划撤退转移！指挥官不能死而复生，失去一切，游戏结束！战斗吧，勇士们！不是为了权力、财富或荣耀，只希望和平再次降临这片绝境。
饥荒：口袋版,开发：Klei Entertainment | 网络：单机 | 类型：冒险,生存,《饥荒》是独立游戏开发团队Klei Entertainment在2013年于PC平台发布的一款动作冒险生存游戏，本作讲述了一名科学家被恶魔传送到异世界的荒野，在那里利用自己的聪明才智艰难求生的故事。游戏凭借其另类独特的美术风格与饶有趣味的玩法而获得不错口碑。
冒险岛M,开发：NEXON Company | 网络：网游 | 类型：角色扮演,横版卷轴,【安卓版注意事项】游戏下载完成后，需要下载大小在1个G左右的数据包，推荐挂载VPN进行。【iOS版注意事项】本游戏需要韩区帐号才能下载安装。【游戏下载】《冒险岛M》是由NEXON Company出品的一款角色扮演游戏，共包含黑骑士、神射手、隐士、主教和船长这五个职业套入其中，玩过端游的玩家相信会更快速上手。游戏仍然是端游经典的横版模式，操作方面采用虚拟摇杆和按键施放的形式。游戏中也加入了一些新的玩法，玩家可以升级到最高90级，同时也能够体验到“精英副本”、“怪物远征队”等需要多个玩家参与的副本玩法，以及单独一个人挑战的“迷你副本”，内容上十分丰富。
超级马里奥奔跑,开发：Nintendo | 网络：单机 | 类型：跑酷,横版卷轴,【安卓版注意事项】经常出现加载失败的情况请使用代理进入游戏。【iOS版注意事项】本游戏需要台区帐号才能下载安装。【游戏介绍】《超级马里奥奔跑》是由Nintendo开发的一款跑酷游戏。在游戏中，马里奥会自动奔跑，玩家要做的就是按屏幕来控制马里奥跳跃，按的时间越长，马里奥跳得越高。游戏包含对战内容，玩家可以选择列表中的一个人来进行挑战。玩家可以通过手机金币，来创造属于自己的“蘑菇王国”。
火力全开之开放城市2,开发：MadOut Games | 网络：单机 | 类型：竞速,3D,《火力全开之开放城市2》是由MadOut Games出品的一款竞速游戏，欧美风情的城市中乡村里暗流涌动，玩家需要驾驶各种不同的赛车，装配不同的武器跟来犯的敌人进行赛车战斗，速度与激情的完美碰撞。这是一款有点类似GTA但飙车属性浓厚的冒险游戏。我们在游戏中可以触发各种赛车任务，什么？没车？抢别人的啦！出租车、赛车甚至拖拉机都能为我所用。在死亡竞赛中，车子还会装上各种武器……【关于汉化】本作为汉化版，感谢手谈汉化组的辛勤劳动！手谈汉化组微信公众号：shoutanhanhua。破解：手谈叶翻译：大婊弟测试：大污喵吉祥物：被小伙伴送了新一加三t手机的手谈姬
和平精英,开发：腾讯游戏 | 网络：网游 | 类型：射击,"国产,沙盒,生存",《和平精英》是腾讯光子工作室群自研打造的反恐军事竞赛体验手游。虚幻引擎4研发，次世代完美画质，极致视听感受；超大实景地图，打造指尖战场，全方面自由施展战术；百人同场竞技，真实弹道，完美的射击手感；好友一键组队，语音开黑；腾讯光子工作室群超过300人团队研发，给您带来一场震撼的竞技体验。【游戏特色】① 实景地图  百人竞技 多张超大实景地图，体验丰富的环境变化，百人同场竞技，凭借战斗策略及射击能力勇夺冠军，力争胜利！② 逼真场景 极致视听虚幻引擎4技术，成熟细节渲染，超大地图、逼真场景，更细腻、更真实！真实3D音效，高保真实时语音，感受身临其境的极致体验！③ 爽快操作 真实弹道真实枪械弹道，优秀射击手感，极易上手！几十种真实枪支、枪械真实弹道模拟，真实投掷品投掷轨迹，多种配件，多种近战武器的物理打击，带给玩家酣畅淋漓地战斗射击体验！④ 丰富载具 狂野飙车多种真实载具，丰富的飙车操纵体验，完美操作手感，比真实更真实！⑤ 一键组队 好友开黑随时随地，任性开黑！ 一键组队，邀请好友语音开黑，好友共战。微信/手Q好友体系、战队系统、聊天室社交，无处不在的游戏内社交体验！上阵兄弟兵，战场见真情！⑥ 公平竞技 绿色环境强大的反外挂功能，针对各种机型的适配及性能优化，让游戏更公平、更顺畅！⑦ 多种娱乐模式玩法多种娱乐模式玩法，更集中的战斗区域，更快的游戏节奏，更短的游戏时长，带来畅爽快速的战斗体验！⑧ 全新团队竞技玩法复杂多变的地形结构，近距离的正面战斗。全新规则，全新地图，带来全新竞技体验！【官方网站】https://gp.qq.com
失落的记忆：现实交替,开发：Psychose Interactive Inc | 网络：单机 | 类型：冒险,"惊悚恐怖,高画质",在《失落的记忆》中，你将扮演露丝·霍金斯，一个坚强而独立的女人，她正在寻找一名失踪的孩子伊甸。露丝醒来后发现自己在一个陌生的地方，她受伤了。在寻找小女孩的时候，她发现自己被困在一个永无止境的悲剧之中，时间凝固了。露丝需要直面内心最深处的恐惧，揭开这场恐怖的调查背后的秘密。【恐怖游戏】《失落的记忆》是一款第三人称心理类生存恐怖游戏，将探险、回忆、谜题、动作和生存和极具恐怖气息的游戏体验相结合。它是90年代最伟大的恐怖游戏真正的精神继承者。《失落的记忆》是一款经典的生存类恐怖游戏。【绝佳的玩家体验】在你的设备上找到真正的游戏和叙述体验。《失落的记忆》将深奥的心理学故事、唯美渲染的场景、流畅的游戏动作融入到极佳的恐怖体验之中，让你终身难忘。【特点概述】• 经典的生存恐怖手法• 深度的自述和气候式心理恐怖体验• 高端而流畅的3D画面• 精准的触屏控制• 无任何应用内购买我们不卖任何武器、弹药或者任何会影响游戏体验的东西。全靠你自己 ;）
病娇模拟器（完整版）,开发：Tea & Cake Games | 网络：单机 | 类型：角色扮演,3D,《病娇模拟器》是一款萌妹子模拟类游戏。在游戏中玩家扮演的女学生因极度迷恋学长，而无法接受其他女同学和学长有任何接触，如果被他发现的话，玩家可以用尽各种方法让他们出糗、设法欺负嫁祸、甚至解决掉她们······【关于汉化】本作为汉化版，感谢手谈汉化组的辛勤劳动！手谈汉化组微信公众号：shoutanhanhua。技术：手谈叶翻译：大婊弟测试：轮回super吉祥物：手谈姬
怪物猎人：探险,开发：CAPCOM | 网络：网游 | 类型：动作角色扮演,3D,【安卓版注意事项】游戏不支持root手机。【iOS版注意事项】本游戏需要台湾区帐号才能下载安装。【游戏介绍】《怪物猎人：探险》是一款由CAPCOM开发的动作角色扮演游戏，本作主打“探险+狩猎”的风格，而故事舞台设置在由一个岛所分裂出来的多个群岛组成的“断裂诸岛”上，断裂诸岛存在数不胜数古代的神秘宝物以及凶猛怪物，玩家要在这些岛屿上一边探索一边讨伐，并且还可以和朋友们一起进行冒险。在战斗当中，玩家最关心的莫过于大型怪物战斗了!本作怪物的体积有着压迫性的震撼，不过勇士们可以通过砍掉怪物的尾巴、伤害怪物的头部这样具有针对性的攻击，来削减怪物的力量，从而取得战斗胜利。
恐怖学校：白色情人节,开发：ROIGAMES Inc. | 网络：单机 | 类型：冒险,"惊悚恐怖,3D",《恐怖学校：白色情人节》是一款由ROIGAMES Inc.开发的冒险解谜游戏。本作实际上根据1998年起发布在PC平台的同名恐怖游戏系列的第三部——《恐怖学校：白色情人节》进行重制改编的，游戏讲述了在一所曾经闹过鬼的学校里，白色情人节那天晚上，男主角想给暗恋的女孩送巧克力，发现她竟突然失踪了，还无意撞见看门人用球棒在杀人，目睹整个过程的他第一时间想要夺路而逃，却发现原本熟悉的教学楼变得如此陌生，陌生到根本找不到生路！但索命的追兵就紧跟在身后，离奇的鬼魂还不时出没，他不得不在泛着诡异气氛的走廊与教室之间游走，寻找逃亡的契机。本作的移动版，采用了恐怖游戏中带入感最强的第一人称视角，让玩家感同身受地成为游戏中最“苦命”的男主角，操作方式上也相当简单明了，你只需要根据即时情况按屏幕右下方“逃跑”或“躲藏”的虚拟按键，就能让主角完成相应动作。至于与场景中的物体互动方面，比如你想开一扇门的话，触摸出现在上面的标识就行了。
战舰少女r,开发：幻萌网络 | 网络：网游 | 类型：策略经营,二次元,《战舰少女r》是一款由幻萌网络开发、上海尽游网络运营的策略游戏。游戏有着全新的Q版战斗方式，天空、海面、海下三体战斗，更是有全新的美少女舰娘们在等着提督们。在画面方面，游戏初看上去并不是十分的亮眼，因为2D的游戏画面虽然让整个游戏缺乏了一点来自视觉的冲击力，而且主打Q萌的画风使其难有太多震撼可言。不过，作为一款美少女游戏，该作的各种拟人化战舰表现得极为诱人。
死亡岛：幸存者,开发：FISHLABS & Deep Silver | 网络：单机 | 类型：动作,"生存,科幻,惊悚恐怖,3D,高画质",《死亡岛：幸存者》，头号丧尸系列游戏登陆手机平台！集结你的英雄小队，强化基地，与朋友共同面对即将到来的丧尸大军吧！收集、建造、战斗……还有生存！准备好在智能手机平台上体验终极丧尸动作角色扮演游戏吧——本作基于Deep Silver最畅销的《死亡岛》系列，原作在电脑及主机端热销超过1500万份！收集传奇英雄和独创武器，建造巧妙的陷阱和坚固的路障，使用精彩的连环组合和独特的操作。用尽一切办法牵制这些恶心的丧尸！惊悚刺激！【游戏特色】• 享受丰富动作与近战、设置陷阱相结合的玩法！• 收集经典英雄，直面丧尸！• 用巧妙的陷阱打造你的基地，抵御丧尸大军！• 探索并解放美丽的人造岛屿！
反叛公司,开发：Ndemic Creations LTD | 网络：单机 | 类型：策略经营,模拟,你能阻止一场致命的叛乱吗？这是一款设计独特的、深入人心的政治/军事模拟游戏。战争已经“结束”了——但我们都知道那没有任何意义。为了稳定这个国家，你必须平衡军事和民事的优先事项，以赢得人民的心和思想，同时也要阻止叛乱分子夺取权力！【游戏特色】稳定五个不同、模型丰富的地区创新的反叛乱策略用实际行动授权给当地政府高度详细，超现实的世界基于广泛的研究智能战略和战术AI复杂的叙述算法由你决定五个独特的州长完全不同的能力综合游戏帮助和教程系统完整的保存/加载功能网络连接不是必需的【一个重要的注意】《Rebel Inc.》虽然是一款虚构的游戏，但它着眼于现实世界中的重要问题，我们也尽了一切努力去敏感地处理这些问题。该游戏已得到广泛的研究，并已与地区政界领袖、商界人士和记者以及国际慈善机构、专家和政府合作开发。
真·三国无双斩,开发：NEXON Company | 网络：网游 | 类型：动作,"3D,三国",【安卓版注意事项】游戏需要谷歌商店支持且需要使用代理下载700MB左右的数据，请保持网络畅通。【iOS版注意事项】本游戏需要港区帐号才能下载安装。【游戏介绍】《真·三国无双斩》是由NEXON Company出品的一款动作游戏，日本光荣特库摩正式授权，首次将此系列一骑当千的游戏乐趣原汁原味的移植至行动平台上。且针对行动平台进行系统及操作优化。游戏内以三位武将一组同时出战的方式进行，并新增多种全新游戏要素。让玩家于行动平台上，再次感受正统《真‧三国无双》的游戏快感。
攀爬侠,开发：Good Thoughts Affect | 网络：单机 | 类型：角色扮演,3D,《攀爬侠》是一款3D的超级英雄模拟器。游戏中的主角，力大无穷能一脚踹飞汽车同时还有像蜘蛛侠一样的能力，只不过用的是绳索而已，这里你将成为新一代的超级英雄攀爬侠。在这座大城市里，用你的武器和你的超能力去维护世界和平。你还能轻易的坦克、直升机和大肆破坏城市、碾压警察。PS：游戏原版有数据包，已被汉化组整合为APK。破解内容：使用绳索增加体力。（改太多就不好玩啦~）【关于汉化】汉化人员：该游戏由手谈汉化组汉化破解：小天使叶子翻译：幻蝶绫、坦克测试：手谈姬吉祥物：扣脚手谈姬欢迎进入手谈汉化组贴吧做客~ http://dwz.cn/2emH0a欢迎进入手谈汉化组Q群~官方群521619439、498254811、429417369欢迎关注手谈汉化组微信公众号： shoutanhanhua手谈汉化组官网地址：www.shoutanhanhua.com
刀剑神域：关键斗士,开发：BANDAI NAMCO | 网络：网游 | 类型：角色扮演,二次元,【iOS版注意事项】本游戏需要港区帐号才能下载安装。【游戏介绍】这一次，主角就是你！成为攻略组的一员，和全国各地被囚禁的玩家一起朝艾恩葛朗特100层前进的在线RPG登场！■如果被死亡游戏囚禁的是自己？可以从玩家的角度再次体验与熟悉角色的相遇以及原作剧情。也会发生原作中没有描绘的幕后剧情，或是异于原作的故事发展！ 在与你息息相关的艾恩葛朗特，将可以体验曾经有可能性的「假想剧情」。■战斗系统和同样被死亡游戏囚禁的搭档《小春》，攻略艾恩葛朗特辽阔的空间。若要攻略强大的怪物和困难的任务，就和全国的攻略组同心协力面对吧！ 此外，生产更强大的武器并活用拥有各种效果的技能，进而针对对方弱点和攻击模式做好准备，才是攻略的关键！【官方网站】https://sao-if-as.bn-ent.net/
刀剑神域：记忆碎片,开发：BANDAI NAMCO | 网络：网游 | 类型：动作,"二次元,横版卷轴",【安卓版注意事项】首次进入游戏需要下载额外数据，需要Google play支持。【iOS版注意事项】本游戏需要港区帐号才能下载安装。【游戏介绍】《刀剑神域：记忆碎片》是一款由BANDAI NAMCO开发的动作游戏。战斗中玩家可以进行攻击、释放技能、交替、格档、跳跃等动作，而且原作中出现过的武器譬如二刀流、单手剑、枪都会在本作中登场！在故事方面，玩家除了可以重新再体验原作故事外，还有大量原创新故事追加。
Incredibox,开发：So Far So Good | 网络：单机 | 类型：音乐,,《Incredibox》是由So Far So Good出品的一款品质超棒的混音游戏，玩家只需将代表不同声音的各种符号拖动到小人身上，便会混合出节奏感超强的各种音乐。玩家可以在游戏中随时记录自己的创作并和全世界的玩家进行分享，来吧，激发自己的灵感来一场超棒的音乐体验。PS：耳机体验更佳！
僵尸山羊,开发：Coffee Stain Studios | 网络：单机 | 类型：动作,"搞怪,整蛊恶搞,3D",《僵尸山羊》是由Coffee Stain Studios开发的著名恶搞游戏《模拟山羊》的最新独立DLC，《僵尸山羊》依旧恶搞无极限，节操全丢光。山羊这次不仅依旧拥有强大的舌头，还可以装备众多武器，加特林机枪、炸弹、生化武器等打僵尸利器。游戏提供了非常广阔的地图，山羊可以肆无忌惮的去探索，摩托车、汽车等都可以成为僵尸山羊的座驾，而车辆行驶的姿势也可以任玩家发挥。这款DLC中将致（恶）敬（搞）目前许多比较火的生存类游戏的设定，比如“生存模式”：每五分钟就得吃点东西因为这是Dean Hall（《DayZ》作者）和Garry Newman（生存沙盒游戏《腐蚀》作者）说的。
天命之子,开发：Next Floor & Shiftuo | 网络：单机 | 类型：卡牌,"二次元,美少女",【安卓版注意事项】本作需要Google Play支持并使用代理才能开始游戏。【iOS版注意事项】本游戏需要港区帐号才能下载安装。【游戏介绍】《天命之子》是由Next Floor、Shiftuo联合出品的一款包含RPG要素的回合制卡牌游戏，采用基本游玩免费+内购道具的收费方式。世界观以魔王候补为主题，主角是一位冥界的后裔，为了能够生存于人类世界，所以刻意伪装假扮成为一名17岁的高中生，以打工赚取生活费来过日子。
